year,month,day,hour,tx_count,sin_month,sin_day,sin_hour,y
0,2,3,21,107655,0.8660254037844386,0.5712682150947923,-0.7071067811865477,135139.0
0,2,3,22,113419,0.8660254037844386,0.5712682150947923,-0.5000000000000004,3469.0
0,2,3,23,91098,0.8660254037844386,0.5712682150947923,-0.2588190451025207,99068.0
0,2,4,0,91896,0.8660254037844386,0.7247927872291199,0.0,109343.0
0,2,4,1,79753,0.8660254037844386,0.7247927872291199,0.25881904510252074,80841.0
0,2,4,2,90713,0.8660254037844386,0.7247927872291199,0.49999999999999994,95182.0
0,2,4,3,84463,0.8660254037844386,0.7247927872291199,0.7071067811865475,80950.0
0,2,4,4,70393,0.8660254037844386,0.7247927872291199,0.8660254037844386,80968.0
0,2,4,5,77912,0.8660254037844386,0.7247927872291199,0.9659258262890683,79084.0
0,2,4,6,68244,0.8660254037844386,0.7247927872291199,1.0,62699.0
0,2,4,7,69589,0.8660254037844386,0.7247927872291199,0.9659258262890683,77917.0
0,2,4,8,86636,0.8660254037844386,0.7247927872291199,0.8660254037844388,66586.0
0,2,4,9,93758,0.8660254037844386,0.7247927872291199,0.7071067811865476,62588.0
0,2,4,10,81787,0.8660254037844386,0.7247927872291199,0.49999999999999994,66729.0
0,2,4,11,75959,0.8660254037844386,0.7247927872291199,0.258819045102521,76476.0
0,2,4,12,72962,0.8660254037844386,0.7247927872291199,1.2246467991473532e-16,80453.0
0,2,4,13,83122,0.8660254037844386,0.7247927872291199,-0.25881904510252035,69745.0
0,2,4,14,113311,0.8660254037844386,0.7247927872291199,-0.5000000000000001,85789.0
0,2,4,15,107675,0.8660254037844386,0.7247927872291199,-0.7071067811865475,97684.0
0,2,4,16,112358,0.8660254037844386,0.7247927872291199,-0.8660254037844384,98117.0
0,2,4,17,106074,0.8660254037844386,0.7247927872291199,-0.9659258262890683,93707.0
0,2,4,18,84148,0.8660254037844386,0.7247927872291199,-1.0,93936.0
0,2,4,19,89892,0.8660254037844386,0.7247927872291199,-0.9659258262890684,79753.0
0,2,4,20,95822,0.8660254037844386,0.7247927872291199,-0.8660254037844386,70309.0
0,2,4,21,135139,0.8660254037844386,0.7247927872291199,-0.7071067811865477,70722.0
0,2,4,22,3469,0.8660254037844386,0.7247927872291199,-0.5000000000000004,83106.0
0,2,4,23,99068,0.8660254037844386,0.7247927872291199,-0.2588190451025207,66433.0
0,2,5,0,109343,0.8660254037844386,0.8486442574947509,0.0,91463.0
0,2,5,1,80841,0.8660254037844386,0.8486442574947509,0.25881904510252074,92881.0
0,2,5,2,95182,0.8660254037844386,0.8486442574947509,0.49999999999999994,82942.0
0,2,5,3,80950,0.8660254037844386,0.8486442574947509,0.7071067811865475,74014.0
0,2,5,4,80968,0.8660254037844386,0.8486442574947509,0.8660254037844386,64231.0
0,2,5,5,79084,0.8660254037844386,0.8486442574947509,0.9659258262890683,60379.0
0,2,5,6,62699,0.8660254037844386,0.8486442574947509,1.0,71808.0
0,2,5,7,77917,0.8660254037844386,0.8486442574947509,0.9659258262890683,62904.0
0,2,5,8,66586,0.8660254037844386,0.8486442574947509,0.8660254037844388,61126.0
0,2,5,9,62588,0.8660254037844386,0.8486442574947509,0.7071067811865476,69492.0
0,2,5,10,66729,0.8660254037844386,0.8486442574947509,0.49999999999999994,81915.0
0,2,5,11,76476,0.8660254037844386,0.8486442574947509,0.258819045102521,69895.0
0,2,5,12,80453,0.8660254037844386,0.8486442574947509,1.2246467991473532e-16,78210.0
0,2,5,13,69745,0.8660254037844386,0.8486442574947509,-0.25881904510252035,77838.0
0,2,5,14,85789,0.8660254037844386,0.8486442574947509,-0.5000000000000001,92286.0
0,2,5,15,97684,0.8660254037844386,0.8486442574947509,-0.7071067811865475,119031.0
0,2,5,16,98117,0.8660254037844386,0.8486442574947509,-0.8660254037844384,101511.0
0,2,5,17,93707,0.8660254037844386,0.8486442574947509,-0.9659258262890683,91808.0
0,2,5,18,93936,0.8660254037844386,0.8486442574947509,-1.0,81922.0
0,2,5,19,79753,0.8660254037844386,0.8486442574947509,-0.9659258262890684,79543.0
0,2,5,20,70309,0.8660254037844386,0.8486442574947509,-0.8660254037844386,74877.0
0,2,5,21,70722,0.8660254037844386,0.8486442574947509,-0.7071067811865477,71402.0
0,2,5,22,83106,0.8660254037844386,0.8486442574947509,-0.5000000000000004,85559.0
0,2,5,23,66433,0.8660254037844386,0.8486442574947509,-0.2588190451025207,80736.0
0,2,6,0,91463,0.8660254037844386,0.9377521321470804,0.0,87967.0
0,2,6,1,92881,0.8660254037844386,0.9377521321470804,0.25881904510252074,104920.0
0,2,6,2,82942,0.8660254037844386,0.9377521321470804,0.49999999999999994,118938.0
0,2,6,3,74014,0.8660254037844386,0.9377521321470804,0.7071067811865475,89958.0
0,2,6,4,64231,0.8660254037844386,0.9377521321470804,0.8660254037844386,84874.0
0,2,6,5,60379,0.8660254037844386,0.9377521321470804,0.9659258262890683,66118.0
0,2,6,6,71808,0.8660254037844386,0.9377521321470804,1.0,76148.0
0,2,6,7,62904,0.8660254037844386,0.9377521321470804,0.9659258262890683,69523.0
0,2,6,8,61126,0.8660254037844386,0.9377521321470804,0.8660254037844388,64188.0
0,2,6,9,69492,0.8660254037844386,0.9377521321470804,0.7071067811865476,65815.0
0,2,6,10,81915,0.8660254037844386,0.9377521321470804,0.49999999999999994,59582.0
0,2,6,11,69895,0.8660254037844386,0.9377521321470804,0.258819045102521,69082.0
0,2,6,12,78210,0.8660254037844386,0.9377521321470804,1.2246467991473532e-16,89372.0
